,Courses
0,"
                                    ABROD 800 - Study Term Abroad
                            "
1,"
                                    ABROD 900 - Study Term Abroad
                            "
2,"
                                    ACCTG 300 - Introduction to Accounting
                            "
3,"
                                    ACCTG 311 - Introduction to Accounting for Financial Performance
                            "
4,"
                                    ACCTG 322 - Introduction to Accounting for Management Decision Making
                            "
5,"
                                    ACCTG 412 - Financial Reporting for Managers and Analysts
                            "
6,"
                                    ACCTG 414 - Intermediate Financial Accounting I
                            "
7,"
                                    ACCTG 415 - Intermediate Financial Accounting II
                            "
8,"
                                    ACCTG 416 - Accounting Theory and Current Issues
                            "
9,"
                                    ACCTG 418 - Advanced Financial Accounting
                            "
10,"
                                    ACCTG 424 - Intermediate Management Accounting
                            "
11,"
                                    ACCTG 426 - Management Control Systems
                            "
12,"
                                    ACCTG 432 - Financial Statement Analysis I
                            "
13,"
                                    ACCTG 437 - Accounting Information Systems
                            "
14,"
                                    ACCTG 456 - Assurance on Financial Information
                            "
15,"
                                    ACCTG 463 - Accounting for Natural Resources, Energy, and the Environment
                            "
16,"
                                    ACCTG 467 - Basic Income Tax
                            "
17,"
                                    ACCTG 468 - Corporate Taxation
                            "
18,"
                                    ACCTG 480 - Accounting Honors Seminar Part I
                            "
19,"
                                    ACCTG 481 - Accounting Honors Seminar Part II
                            "
20,"
                                    ACCTG 488 - Selected Topics in Accounting
                            "
21,"
                                    ACCTG 495 - Individual Research Project I
                            "
22,"
                                    ACCTG 496 - Individual Research Project II
                            "
23,"
                                    ACCTG 497 - Individual Research Project III
                            "
24,"
                                    ACCTG 501 - Introduction to Financial Reporting and Analysis
                            "
25,"
                                    ACCTG 523 - Accounting Information and Internal Decision Making
                            "
26,"
                                    ACCTG 601 - Case Studies in Accounting
                            "
27,"
                                    ACCTG 605 - Accounting and Business Strategy
                            "
28,"
                                    ACCTG 610 - Financial Reporting for Managers and Analysts
                            "
29,"
                                    ACCTG 614 - Intermediate Financial Accounting I
                            "
30,"
                                    ACCTG 615 - Intermediate Financial Accounting II
                            "
31,"
                                    ACCTG 616 - Seminar in Financial Accounting Theory
                            "
32,"
                                    ACCTG 618 - Seminar in Advanced Accounting Issues
                            "
33,"
                                    ACCTG 624 - Seminar in Management Accounting
                            "
34,"
                                    ACCTG 625 - Performance Management
                            "
35,"
                                    ACCTG 626 - Seminar in Managerial Control
                            "
36,"
                                    ACCTG 630 - Financial Statement Analysis
                            "
37,"
                                    ACCTG 656 - Auditing History, Theory, and Current Thought
                            "
38,"
                                    ACCTG 657 - Advanced Auditing
                            "
39,"
                                    ACCTG 662 - Strategic Tax Planning
                            "
40,"
                                    ACCTG 663 - Accounting for Natural Resources, Energy and the Environment
                            "
41,"
                                    ACCTG 667 - Basic Income Tax
                            "
42,"
                                    ACCTG 668 - Corporate Taxation
                            "
43,"
                                    ACCTG 686 - Selected Topics in Accounting
                            "
44,"
                                    ACCTG 688 - CPA Capstone 1
                            "
45,"
                                    ACCTG 689 - CPA Capstone 2
                            "
46,"
                                    ACCTG 701 - Introduction to Accounting Research
                            "
47,"
                                    ACCTG 703A - Accounting Research Workshop
                            "
48,"
                                    ACCTG 703B - Accounting Research Workshop
                            "
49,"
                                    ACCTG 705 - Individual Research
                            "
50,"
                                    ACCTG 706 - Introduction to Behavioral and Experimental Accounting Research
                            "
51,"
                                    ACCTG 707 - Introduction to Analytical Accounting Research
                            "
52,"
                                    ACCTG 708 - Introduction to Empirical Accounting Research
                            "
53,"
                                    ACCTG 711 - Advanced Topics in Behavioral and Experimental Accounting Research
                            "
54,"
                                    ACCTG 732 - Advanced Topics in Analytical Accounting Research
                            "
55,"
                                    ACCTG 733 - Advanced Topics in Empirical Accounting Research
                            "
56,"
                                    ACCTG 800 - Financial Accounting
                            "
57,"
                                    ACCTG 801 - Organizational Planning and Control
                            "
58,"
                                    ACCTG 812 - Financial Reporting for Managers and Analysts
                            "
59,"
                                    ACCTG 818 - FINANCIAL STATEMENT ANALYSIS
                            "
60,"
                                    ACCTG 820 - Financial Accounting
                            "
61,"
                                    ACCTG 830 - Organization Planning and Control
                            "
62,"
                                    ADMI 301 - Fondements légaux de l'économie canadienne
                            "
63,"
                                    ADMI 302 - Introduction à la finance
                            "
64,"
                                    ADMI 311 - Introduction à la comptabilité
                            "
65,"
                                    ADMI 322 - Gestion et méthodes de contrôle
                            "
66,"
                                    ADMI 342 - Introduction au Commerce International
                            "
67,"
                                    ADMI 412 - Principes de l'investissement
                            "
68,"
                                    ADMI 414 - Comptabilité financière (niveau intermédiaire)
                            "
69,"
                                    ADMI 441 - Stratégie d'entreprise
                            "
70,"
                                    ADMI 444 - Commerce international
                            "
71,"
                                    ADMI 445 - Stratégies concurrentielles en commerce international
                            "
72,"
                                    ADMI 463 - L'énergie et l'environnement: Structure industrielle, performance et défis
                            "
73,"
                                    ADMI 479 - L'entreprise et le gouvernement au Canada
                            "
74,"
                                    ADRAM 101 - Introduction à l'art théâtral
                            "
75,"
                                    ADRAM 103 - Les procédés dramatiques
                            "
76,"
                                    ADRAM 201 - Survol historique du théâtre universel
                            "
77,"
                                    ADRAM 247 - Voix et interprétation
                            "
78,"
                                    ADRAM 249 - Créativité et jeu dramatique
                            "
79,"
                                    ADRAM 284A - Travail théâtral I
                            "
80,"
                                    ADRAM 284B - Travail théâtral I
                            "
81,"
                                    ADRAM 302 - Théâtres francophones du Canada
                            "
82,"
                                    ADRAM 321 - Créativité et théâtre pour jeunes
                            "
83,"
                                    ADRAM 322 - Théâtre pour l'enfance et la jeunesse
                            "
84,"
                                    ADRAM 350 - Production vocale
                            "
85,"
                                    ADRAM 384 - Mise en scène
                            "
86,"
                                    ADRAM 400 - Choix de sujet
                            "
87,"
                                    ADRAM 403 - Théâtres francophones contemporains
                            "
88,"
                                    ADRAM 411 - Théories du théâtre
                            "
89,"
                                    ADRAM 451 - Production vocale avancée
                            "
90,"
                                    ADRAM 466 - Analyse du théâtre canadien-français
                            "
91,"
                                    ADRAM 484 - Création
                            "
92,"
                                    ADRAM 486 - Création littéraire
                            "
93,"
                                    AFNS 401 - Honors Seminar
                            "
94,"
                                    AFNS 414 - Lipid Science
                            "
95,"
                                    AFNS 416 - One Health
                            "
96,"
                                    
                                        Starting: 2023-09-01
                                    
                                    AFNS 416 - One Health
                            "
97,"
                                    AFNS 500 - Individual Study
                            "
98,"
                                    AFNS 502 - Advanced Study of Food Fermentations
                            "
99,"
                                    AFNS 503 - Processing of Milk and Dairy Products
                            "
100,"
                                    AFNS 504 - Muscle Food Science and Technology
                            "
101,"
                                    AFNS 505 - Introduction to the Principles of Nutrition
                            "
102,"
                                    AFNS 506 - Rangeland Plant Communities of Western Canada
                            "
103,"
                                    AFNS 507 - Science and Technology of Cereal and Oilseed Processing
                            "
104,"
                                    AFNS 508 - Applied Bioinformatics
                            "
105,"
                                    AFNS 510 - Renewable Biomaterials
                            "
106,"
                                    AFNS 511 - Veterinary Immunology
                            "
107,"
                                    AFNS 512 - Quality Assurance
                            "
108,"
                                    AFNS 514 - Lipid Science
                            "
109,"
                                    AFNS 516 - One Health
                            "
110,"
                                    AFNS 520 - Ruminant Physiology and Metabolic Diseases
                            "
111,"
                                    AFNS 521 - Meat Science
                            "
112,"
                                    AFNS 522 - Advanced Biocatalysis
                            "
113,"
                                    AFNS 524 - Nutrition and Metabolism Related to Cancer
                            "
114,"
                                    AFNS 527 - Food Safety
                            "
115,"
                                    AFNS 528 - Advances in Human Nutrition and the Intestinal Microbiome
                            "
116,"
                                    AFNS 530 - Principles of Sensory Evaluation of Foods
                            "
117,"
                                    AFNS 532 - Advanced Food Protein Chemistry and Technology
                            "
118,"
                                    AFNS 536 - Advanced Topics in Nutrition
                            "
119,"
                                    AFNS 540 - Applied Biostatistics
                            "
120,"
                                    AFNS 542 - Sustainability of Food and Bio-based Products
                            "
121,"
                                    AFNS 543 - Diabetes, Cardiovascular Disease and Lifestyle
                            "
122,"
                                    AFNS 545 - Plants for Bioproducts
                            "
123,"
                                    AFNS 552 - Nutrition in the Prevention of Chronic Human Diseases
                            "
