Course,Description,Section,Date Times,Instructors
ABROD 800 - Study Term Abroad,"This course is reserved for students who wish to maintain registration while participating in formal University of Alberta managed and approved Study Abroad programs. Students are registered in this course for each approved term of study abroad. The only fees assessed for this registration are the normal registration and transcript fees associated with the term. Students are eligible to register in the course on more than one occasion. Closed to web registration. Contact the Education Abroad Program, University of Alberta International.",SEMINAR 850 (43218),No scheduled class times,
ABROD 900 - Study Term Abroad,"This course is reserved for students who wish to maintain registration while participating in programs or courses at other accredited post-secondary institutions, where they pay tuition fees directly to the host institution instead of to the University of Alberta. Students are registered in this course for each approved term of study off-campus. The only fees assessed for this registration are the off-campus mandatory non-instructional fees associated with the term. Students are eligible to register in the course on more than one occasion. Closed to web registration.",SEMINAR 850 (41522),No scheduled class times,
ACCTG 300 - Introduction to Accounting,"Provides a basic understanding of accounting: how accounting numbers are generated, the meaning of accounting reports, and how to use accounting reports to make decisions. Note: Not open to students registered in the Faculty of Business. Not for credit in the Bachelor of Commerce Program or another program that requires ACCTG 311. Not open to students with credit in ACCTG 311 and ACCTG 322.",LECTURE B01 (42411),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (T L-12),Jocelyn King
ACCTG 311 - Introduction to Accounting for Financial Performance,"How to prepare and interpret financial statements that report to decision makers external to the enterprise, such as shareholders and creditors. Course includes principles and standards of balance sheet valuation, income measurement, financial disclosure and cash flow analysis that link preparation and use of such statements. Prerequisites: ECON 101 and 102.",LECTURE B01 (42412),2023-01-05 - 2023-04-12 TH 11:00 - 12:20 (BUS 1-09),Jason Lee
ACCTG 311 - Introduction to Accounting for Financial Performance,"How to prepare and interpret financial statements that report to decision makers external to the enterprise, such as shareholders and creditors. Course includes principles and standards of balance sheet valuation, income measurement, financial disclosure and cash flow analysis that link preparation and use of such statements. Prerequisites: ECON 101 and 102.",SEMINAR J01 (42413),2023-01-05 - 2023-04-12 T 15:30 - 16:50 (BUS 1-05),
ACCTG 322 - Introduction to Accounting for Management Decision Making,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.",LECTURE B01 (42414),2023-01-05 - 2023-04-12 MW 11:00 - 12:20 (BUS 2-05),Li Xiao
ACCTG 322 - Introduction to Accounting for Management Decision Making,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.",LECTURE B02 (42415),2023-01-05 - 2023-04-12 MW 12:30 - 13:50 (BUS 1-09),Li Xiao
ACCTG 322 - Introduction to Accounting for Management Decision Making,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.",LECTURE B03 (42532),2023-01-05 - 2023-04-12 MW 15:30 - 16:50 (BUS 1-05),Li Xiao
ACCTG 322 - Introduction to Accounting for Management Decision Making,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.",LECTURE B04 (42475),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (HC L1-L3),Ke Wang
ACCTG 322 - Introduction to Accounting for Management Decision Making,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.",LECTURE B05 (42416),2023-01-05 - 2023-04-12 TH 11:00 - 12:20 (BUS 2-05),Ke Wang
ACCTG 322 - Introduction to Accounting for Management Decision Making,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.",LECTURE B06 (42500),2023-01-05 - 2023-04-12 TH 12:30 - 13:50 (BUS 1-05),Ke Wang
ACCTG 322 - Introduction to Accounting for Management Decision Making,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.",LECTURE B07 (42553),2023-01-05 - 2023-04-12 F 09:00 - 11:50 (BUS 1-05),Jason Lee
ACCTG 412 - Financial Reporting for Managers and Analysts,"Course is for students who are not accounting majors and is especially useful for those contemplating a career in financial management or a CFA designation. It is for students who want to build on the financial accounting knowledge developed in ACCTG 311, and provides the necessary foundation for courses in financial statement analysis and tax. Further depth is provided in balance sheet valuation, income measurement, earnings per share and cash flow analysis. Prerequisite: ACCTG 311. Corequisite: FIN 301. Not open to students with credit in ACCTG 414 or 415.",LECTURE B01 (41737),2023-01-05 - 2023-04-12 MW 14:00 - 15:20 (BUS 2-09),Jocelyn King
ACCTG 414 - Intermediate Financial Accounting I,"First of two courses covering principles, methods and applications of current and proposed Generally Accepted Accounting Principles (GAAP). Emphasizes accounting for operating and investment assets, and related income measurement and disclosure. Prerequisites: ACCTG 311 and 322. Not open to students with credit in ACCTG 412. There is a consolidated exam for ACCTG 414.",LECTURE B01 (42417),2023-01-05 - 2023-04-12 TH 12:30 - 13:50 (BUS B-05),Trish Stringer
ACCTG 414 - Intermediate Financial Accounting I,"First of two courses covering principles, methods and applications of current and proposed Generally Accepted Accounting Principles (GAAP). Emphasizes accounting for operating and investment assets, and related income measurement and disclosure. Prerequisites: ACCTG 311 and 322. Not open to students with credit in ACCTG 412. There is a consolidated exam for ACCTG 414.",LECTURE B2 (40568),2023-01-05 - 2023-04-12 MW 14:00 - 15:20 (T 2-99),Trish Stringer
ACCTG 415 - Intermediate Financial Accounting II,"Second of two courses (see ACCTG 414) covering principles, methods and applications of current and proposed Generally Accepted Accounting Principles (GAAP). Emphasizes accounting for financing, liabilities and equity, related income measurement and disclosure, and cash flow. Prerequisites: FIN 301, and a minimum grade of C- in ACCTG 414.",LECTURE B01 (42536),2023-01-05 - 2023-04-12 MW 09:30 - 10:50 (BUS 2-05),Jason Lee
ACCTG 415 - Intermediate Financial Accounting II,"Second of two courses (see ACCTG 414) covering principles, methods and applications of current and proposed Generally Accepted Accounting Principles (GAAP). Emphasizes accounting for financing, liabilities and equity, related income measurement and disclosure, and cash flow. Prerequisites: FIN 301, and a minimum grade of C- in ACCTG 414.",LECTURE B02 (42495),2023-01-05 - 2023-04-12 MW 12:30 - 13:50 (BUS 3-06),Shamin Mashruwala
ACCTG 415 - Intermediate Financial Accounting II,"Second of two courses (see ACCTG 414) covering principles, methods and applications of current and proposed Generally Accepted Accounting Principles (GAAP). Emphasizes accounting for financing, liabilities and equity, related income measurement and disclosure, and cash flow. Prerequisites: FIN 301, and a minimum grade of C- in ACCTG 414.",LECTURE B03 (42418),2023-01-05 - 2023-04-12 MW 15:00 - 16:20 (BUS 1-06),Shamin Mashruwala
ACCTG 418 - Advanced Financial Accounting,"The course analyzes the concepts and practices underlying financial reporting in more complex areas such as business combinations, multinational operations, future income taxes and not for profit organizations. Prerequisite: ACCTG 415. Open only to fourth-year Business students or by consent of the Department Chair.",LECTURE B01 (42419),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (HC 1-11),Shamin Mashruwala
